site name,site department 1,site department 2,site department 3,site department 4,site department 5,site department 6,site department 7,site department 5,site address,site zone,site time limt,,,,,
??? ????? ???????,?????? ???????,?????????,??????????,??????,?????????? ?????,,,,"????? 6, ?? ???? ???",????,17:00,,,,,
??? ????? ???? ???,???? ???,,,,,,,,"?????, ???? 38100",????,17:00,,,,,
??? ????? ???????,?????,,,,,,,,"??????? 62, ?????",????,17:00,,,,,
??? ????? ????,???? ???,,,,,,,,"???? ??????, ??????",????,17:00,,,,,
??? ????? ????,??????????,??????????????,??????????,?????,?????????,??????????,,,"?????? ?????? 8, ????",????,15:00,,,,,
??? ????? ????,??????????,???,?????????? ?',?????? ?? ???,??????,??????????,???? ???,???? ???????? ?????? ??,"??? ???? 1, ??? ??",????,17:00,,,,,
??? ????? ?????,,,,,,,,,"??? ????? 7, ??? ?????",????,17:00,,,,,
??? ????? ???????,??????,??????????,??????????????,????-??????????,,,,,"??? ??? ?'???????? 39, ??? ?????",????,17:00,,,,,
??? ????? ????,??????????,?????,,,,,,,"??????????? 59, ??? ???",????,17:00,,,,,
??? ????? ????,?????????,,,,,,,,"???? 7, ????",????,15:00,,,,,
??? ????? ??????,,,,,,,,,"??' ???? ???? 16, ?????",????,17:00,,,,,
??? ????? ???? ???,?????????,?????,,,,,,,"????? ???? 12, ???????",???????,15:00,,,,,
??? ????? ???? ?? ??????,?????,?????,,,,,,,"????? ?'??'?? 8, ???????",???????,15:00,,,,,
??? ????? ???? ??? ???,?????,,,,,,,,"???? ????, ???????",???????,15:00,,,,,
??? ????? ???? ???,??????????,,,,,,,,"??? ????""?, ???",????,15:00,,,,,
??? ????? ?????,?????? ???????,,,,,,,,"????? 20, ??? ?????, ?? ????",????,17:00,,,,,
??? ????? ??????,??????????,?????????,,,,,,,"???????? 2, ??????",????,15:00,,,,,
??? ????? ??? ????,?????????,??????????,,,,,,,"????? ????? ?????? 47, ????",????,15:00,,,,,
??? ????? ??? ?????,???? ?????,,,,,,,,"??????, ??? ????",????,17:00,,,,,
??? ????? ????,???????? ?',,,,,,,,"????? ???? ???? 21, ?????",????,15:00,,,,,
??? ????? ??????,???? ???,,,,,,,,"????? ???? ??? 151, ??? ???",????,15:00,,,,,
????? ?????? ?????,?????,?????,?????????,,,,,,"???? 89, ?????",????,15:00,,,,,
??? ????? ?????,??????????,???? ???,?????????,,,,,,"???? 768, ?????",????,15:00,,,,,
??? ????? ??????,,,,,,,,,"???? 14, ??? ?????",????,17:00,,,,,
??? ????? ?????? ??????,???,,,,,,,,"6004 15, ????",????,15:00,,,,,
??? ????? ???,,,,,,,,,"??????? 1, ??? ?????",????,17:00,,,,,
????? ???,,,,,,,,,????????? 19 ??? ???,????,17:00,,,,,
???? ????,,,,,,,,,"???? 15, ????",????,15:00,,,,,
????? ????,,,,,,,,,"??? ?????? ???? 7, ????",????,17:00,,,,,
???? ?????,,,,,,,,,"???? ???? 96, ?? ????",????,17:00,,,,,
???? ????? ???,,,,,,,,,"????? ??????? 37, ????",????,15:00,,,,,
??? ??? - AML,,,,,,,,,????? ????? 37,????,17:00,,,,,
???-???,,,,,,,,,"????????? 22, ?? ?????",????,17:00,,,,,
??? ??????? ?????,,,,,,,,,"???? 8, ?????",????,17:00,,,,,
????? ?? ????,,,,,,,,,"???? ???? ?????? 28, ??? ???",????,15:00,,,,,
??? ??,,,,,,,,,"??? ???? ??????? 3, ??? ???, ???? ???? ???? ??""? 62",????,17:00,,,,,
????? ??? ????,,,,,,,,,"??? ???? ???? 50, ??? ?????",????,17:00,,,,,
???? ?????? - ?? ???? ???,,,,,,,,,"????? 71, ??????",????,17:00,,,,,
???? - ????? ??????,,,,,,,,,"???? ?""? 12, ????",????,15:00,,,,,
???? ????? ????? - ?????? - ????? ??????????????? ,,,,,,,,,"????? 8, ???????",???????,15:00,,,,,
????? ???? ?????? ?????,,,,,,,,,"??????? ???? ????? 119, ??? ?????",????,17:00,,,,,
?? ?????,,,,,,,,,"???????? 0, ??? ???",????,17:00,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
